x,l
http://vocab.getty.edu/aat/300068227,half plans
http://vocab.getty.edu/aat/300034122,site plans
http://vocab.getty.edu/aat/300034155,block plans
http://vocab.getty.edu/aat/300034145,planting plans
http://vocab.getty.edu/aat/300034158,floor plans (orthographic projections)
http://vocab.getty.edu/aat/300072974,ground plans
http://vocab.getty.edu/aat/300034215,electrical plans
http://vocab.getty.edu/aat/300076932,heating plans
http://vocab.getty.edu/aat/300034243,broken-out sections
http://vocab.getty.edu/aat/300132233,inboard profiles
http://vocab.getty.edu/aat/300034229,auxiliary sections
http://vocab.getty.edu/aat/300068132,soil profiles (orthographic projections)
http://vocab.getty.edu/aat/300100181,exterior perspectives
http://vocab.getty.edu/aat/300343855,architectural fantasies (depictions)
http://vocab.getty.edu/aat/300034409,envois (drawings)
http://vocab.getty.edu/aat/300069430,underdrawings
http://vocab.getty.edu/aat/300079762,auxiliary cartoons
http://vocab.getty.edu/aat/300034478,assembly drawings
http://vocab.getty.edu/aat/300263949,general arrangement drawings
http://vocab.getty.edu/aat/300034482,clarification drawings
http://vocab.getty.edu/aat/300034509,standard detail drawings
http://vocab.getty.edu/aat/300034520,erection drawings
http://vocab.getty.edu/aat/300034562,HVAC drawings
http://vocab.getty.edu/aat/300263512,animated cartoons
http://vocab.getty.edu/aat/300072990,full-scale drawings
http://vocab.getty.edu/aat/300034787,architectural drawings (visual works)
http://vocab.getty.edu/aat/300418054,architectural walkthroughs
http://vocab.getty.edu/aat/300028685,videodiscs (video recording disks)
http://vocab.getty.edu/aat/300450676,open reel videotapes
http://vocab.getty.edu/aat/300404417,Beta (Betamax)
http://vocab.getty.edu/aat/300028756,<marks by function>
http://vocab.getty.edu/aat/300310175,cornermarks
http://vocab.getty.edu/aat/300028815,bottle makers' marks
http://vocab.getty.edu/aat/300194603,cancellations (stamps)
http://vocab.getty.edu/aat/300236477,date letters
http://vocab.getty.edu/aat/300028771,country of origin marks
http://vocab.getty.edu/aat/300265572,assay grooves
http://vocab.getty.edu/aat/300263892,planispheres
http://vocab.getty.edu/aat/300028200,coastal zone maps
http://vocab.getty.edu/aat/300028217,mine maps
http://vocab.getty.edu/aat/300028208,watershed maps
http://vocab.getty.edu/aat/300028255,battlefield maps
http://vocab.getty.edu/aat/300028269,census maps
http://vocab.getty.edu/aat/300028280,buried cable maps
http://vocab.getty.edu/aat/300080112,bus route maps
http://vocab.getty.edu/aat/300028315,aeronautical charts
http://vocab.getty.edu/aat/300028321,airline maps
http://vocab.getty.edu/aat/300387741,admiralty charts
http://vocab.getty.edu/aat/300028339,bathymetric maps
http://vocab.getty.edu/aat/300028436,regional maps
http://vocab.getty.edu/aat/300264705,magic scrolls
http://vocab.getty.edu/aat/300264345,altar cards
http://vocab.getty.edu/aat/300419464,conservation management plans
http://vocab.getty.edu/aat/300026465,epistolaries
http://vocab.getty.edu/aat/300211806,mahzorim
http://vocab.getty.edu/aat/300281845,istoriato
http://vocab.getty.edu/aat/300411548,architectural metalwork
http://vocab.getty.edu/aat/300265244,alicatados
http://vocab.getty.edu/aat/300015344,pargeting (visual work)
http://vocab.getty.edu/aat/300054087,joinery (woodwork)
http://vocab.getty.edu/aat/300015393,block diagrams
http://vocab.getty.edu/aat/300417318,architectural views
http://vocab.getty.edu/aat/300015527,aerial views
http://vocab.getty.edu/aat/300117363,three-quarter views
http://vocab.getty.edu/aat/300015518,general views
http://vocab.getty.edu/aat/300264741,detail views
http://vocab.getty.edu/aat/300015556,vedute
http://vocab.getty.edu/aat/300386711,botanical illustrations
http://vocab.getty.edu/aat/300379258,placas
http://vocab.getty.edu/aat/300132266,esquisses
http://vocab.getty.edu/aat/300178226,abbozzi
http://vocab.getty.edu/aat/300435107,coastal landscapes
