x,l
http://vocab.getty.edu/aat/300380044,amylase
http://vocab.getty.edu/aat/300228069,bodies (land vehicle components)
http://vocab.getty.edu/aat/300432698,watercraft steering wheels
http://vocab.getty.edu/aat/300221716,apparels (vestment components)
http://vocab.getty.edu/aat/300213001,steeple crowns
http://vocab.getty.edu/aat/300263589,Roxburghe bindings
http://vocab.getty.edu/aat/300211472,caoutchouc bindings (gathered matter components)
http://vocab.getty.edu/aat/300263000,spiral bindings
http://vocab.getty.edu/aat/300045514,jet (coal)
http://vocab.getty.edu/aat/300264249,coke (bituminous)
http://vocab.getty.edu/aat/300012976,bitumen (material)
http://vocab.getty.edu/aat/300012969,artificial asphalt
http://vocab.getty.edu/aat/300015149,coal
http://vocab.getty.edu/aat/300224812,double pieces
http://vocab.getty.edu/aat/300202391,boldface
http://vocab.getty.edu/aat/300195655,display types
http://vocab.getty.edu/aat/300225133,English locks
http://vocab.getty.edu/aat/300439415,adze heads
http://vocab.getty.edu/aat/300211196,modern (typeface group)
http://vocab.getty.edu/aat/300195133,book jackets
http://vocab.getty.edu/aat/300391192,accordion album bindings
http://vocab.getty.edu/aat/300265242,Aldine bindings
http://vocab.getty.edu/aat/300083023,endpapers
http://vocab.getty.edu/aat/300411739,circular skirts
http://vocab.getty.edu/aat/300210050,Luxeuil script
http://vocab.getty.edu/aat/300390938,acolyte's collars
http://vocab.getty.edu/aat/300410463,Medici collars
http://vocab.getty.edu/aat/300210143,Insular majuscule
http://vocab.getty.edu/aat/300210206,antiqua
http://vocab.getty.edu/aat/300224524,boot cuffs
http://vocab.getty.edu/aat/300391015,field jacket liners
http://vocab.getty.edu/aat/300403913,fobs (pockets)
http://vocab.getty.edu/aat/300253738,hanging sleeves
http://vocab.getty.edu/aat/300301312,portable tabernacles
http://vocab.getty.edu/aat/300194411,Beneventan minuscule
http://vocab.getty.edu/aat/300265537,dīwānī
http://vocab.getty.edu/aat/300220939,dough hooks
http://vocab.getty.edu/aat/300209241,Albert system
http://vocab.getty.edu/aat/300247490,armbands
http://vocab.getty.edu/aat/300210466,aigrettes (plumes)
http://vocab.getty.edu/aat/300265255,antependia
http://vocab.getty.edu/aat/300391266,chrismales (altar cloths)
http://vocab.getty.edu/aat/300205002,tapestries
http://vocab.getty.edu/aat/300204896,blocks (quilt components)
http://vocab.getty.edu/aat/300204898,setting blocks
http://vocab.getty.edu/aat/300214840,over-the-rail upholstery
http://vocab.getty.edu/aat/300215230,top covers (upholstery components)
http://vocab.getty.edu/aat/300231210,close webbing (upholstery foundation)
http://vocab.getty.edu/aat/300215091,entrefenêtres
